dimension, 678, 591
Result (x y micro-second), 23, 47, 1010
Result (x y micro-second), 32, 1, 1291
Result (x y micro-second), 13, 23, 1194
Result (x y micro-second), 11, 47, 1255
Result (x y micro-second), 23, 7, 1165
Result (x y micro-second), 11, 13, 1192
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 1, 29, 2038
Result (x y micro-second), 5, 7, 1414
Result (x y micro-second), 47, 16, 1178
Result (x y micro-second), 7, 5, 1358
Result (x y micro-second), 13, 7, 1170
Result (x y micro-second), 11, 1, 1673
Result (x y micro-second), 29, 29, 1190
Result (x y micro-second), 29, 5, 1140
Result (x y micro-second), 64, 7, 1146
Result (x y micro-second), 64, 23, 1013
Result (x y micro-second), 7, 13, 1228
Result (x y micro-second), 64, 11, 1200
Result (x y micro-second), 1, 16, 2115
Result (x y micro-second), 16, 11, 1150
Result (x y micro-second), 47, 16, 1177
Result (x y micro-second), 5, 32, 1278
Result (x y micro-second), 64, 1, 1183
Result (x y micro-second), 64, 47, 1016
Result (x y micro-second), 11, 64, 1275
Result (x y micro-second), 32, 16, 1129
Result (x y micro-second), 1, 64, 1934
Result (x y micro-second), 16, 16, 1141
Result (x y micro-second), 23, 5, 1141
Result (x y micro-second), 29, 11, 1160
Result (x y micro-second), 5, 13, 1283
Result (x y micro-second), 47, 11, 1176
Result (x y micro-second), 23, 32, 1225
Result (x y micro-second), 29, 13, 1153
Result (x y micro-second), 5, 64, 1273
Result (x y micro-second), 16, 32, 1172
Result (x y micro-second), 7, 23, 1237
Result (x y micro-second), 16, 7, 1141
Result (x y micro-second), 13, 7, 1174
Result (x y micro-second), 47, 16, 1200
Result (x y micro-second), 1, 23, 2063
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 16, 16, 1149
Result (x y micro-second), 11, 47, 1256
Result (x y micro-second), 13, 32, 1224
Result (x y micro-second), 7, 13, 1228
Result (x y micro-second), 1, 47, 2232
Result (x y micro-second), 29, 13, 1168
Result (x y micro-second), 16, 5, 1157
Result (x y micro-second), 47, 23, 1015
Result (x y micro-second), 64, 11, 1192
Result (x y micro-second), 5, 5, 1425
Result (x y micro-second), 32, 29, 1152
Result (x y micro-second), 11, 5, 1220
Result (x y micro-second), 29, 5, 1142
Result (x y micro-second), 16, 16, 1142
Result (x y micro-second), 32, 13, 1150
Result (x y micro-second), 11, 1, 1685
Result (x y micro-second), 29, 16, 1150
Result (x y micro-second), 32, 64, 1017
Result (x y micro-second), 1, 32, 2026
Result (x y micro-second), 11, 1, 1733
Result (x y micro-second), 23, 64, 998
Result (x y micro-second), 16, 47, 1209
Result (x y micro-second), 64, 5, 1127
Result (x y micro-second), 7, 47, 1255
Result (x y micro-second), 13, 13, 1198
Result (x y micro-second), 64, 5, 1149
Result (x y micro-second), 47, 5, 1144
Result (x y micro-second), 5, 11, 1309
Result (x y micro-second), 7, 13, 1210
Result (x y micro-second), 47, 32, 1013
Result (x y micro-second), 32, 64, 1009
Result (x y micro-second), 29, 16, 1176
Result (x y micro-second), 13, 13, 1190
Result (x y micro-second), 13, 16, 1179
Result (x y micro-second), 5, 29, 1274
Result (x y micro-second), 11, 16, 1203
Result (x y micro-second), 13, 23, 1186
Result (x y micro-second), 13, 5, 1196
Result (x y micro-second), 29, 13, 1161
Result (x y micro-second), 64, 5, 1130
Result (x y micro-second), 23, 32, 1230
Result (x y micro-second), 1, 13, 2168
Result (x y micro-second), 47, 64, 1012
Result (x y micro-second), 23, 1, 1373
Result (x y micro-second), 11, 13, 1187
Result (x y micro-second), 29, 64, 1017
Result (x y micro-second), 5, 11, 1290
Result (x y micro-second), 13, 23, 1197
Result (x y micro-second), 29, 23, 1164
Result (x y micro-second), 47, 23, 1014
Result (x y micro-second), 1, 5, 2877
Result (x y micro-second), 1, 13, 2162
Result (x y micro-second), 32, 7, 1135
Result (x y micro-second), 23, 13, 1159
Result (x y micro-second), 16, 11, 1157
Result (x y micro-second), 11, 1, 1678
Result (x y micro-second), 1, 7, 2523
Result (x y micro-second), 16, 29, 1172
Result (x y micro-second), 64, 47, 1016
Result (x y micro-second), 32, 5, 1128
Result (x y micro-second), 7, 7, 1364
Result (x y micro-second), 1, 11, 2232
Result (x y micro-second), 16, 13, 1153
Result (x y micro-second), 29, 64, 1016
Result (x y micro-second), 32, 16, 1137
Result (x y micro-second), 11, 32, 1216
Result (x y micro-second), 16, 11, 1157
Result (x y micro-second), 5, 7, 1420
Result (x y micro-second), 13, 16, 1180
Result (x y micro-second), 13, 47, 1205
Result (x y micro-second), 47, 23, 1017
Result (x y micro-second), 47, 29, 1014
Result (x y micro-second), 32, 5, 1133
Result (x y micro-second), 13, 16, 1182
Result (x y micro-second), 64, 64, 1015
Result (x y micro-second), 23, 64, 1010
Result (x y micro-second), 64, 23, 1010
Result (x y micro-second), 5, 13, 1284
Result (x y micro-second), 32, 32, 1153
Result (x y micro-second), 5, 16, 1286
Result (x y micro-second), 5, 13, 1293
Result (x y micro-second), 7, 13, 1221
Result (x y micro-second), 16, 7, 1141
Result (x y micro-second), 23, 29, 1165
Result (x y micro-second), 16, 32, 1177
Result (x y micro-second), 16, 5, 1159
Result (x y micro-second), 11, 7, 1190
Result (x y micro-second), 47, 47, 1019
Result (x y micro-second), 11, 1, 1687
Result (x y micro-second), 7, 5, 1335
Result (x y micro-second), 32, 32, 1150
Result (x y micro-second), 1, 29, 2044
Result (x y micro-second), 7, 64, 1246
Result (x y micro-second), 47, 32, 1019
Result (x y micro-second), 32, 64, 1015
Result (x y micro-second), 5, 29, 1265
Result (x y micro-second), 5, 5, 1427
Result (x y micro-second), 1, 13, 2166
Result (x y micro-second), 5, 13, 1281
Result (x y micro-second), 5, 29, 1288
Result (x y micro-second), 64, 23, 1000
Result (x y micro-second), 32, 11, 1132
Result (x y micro-second), 23, 13, 1166
Result (x y micro-second), 64, 64, 1017
Result (x y micro-second), 7, 64, 1253
Result (x y micro-second), 47, 64, 1014
Result (x y micro-second), 32, 29, 1147
Result (x y micro-second), 23, 32, 1228
Result (x y micro-second), 29, 13, 1171
Result (x y micro-second), 16, 7, 1160
Result (x y micro-second), 5, 13, 1290
Result (x y micro-second), 47, 1, 1213
Result (x y micro-second), 23, 29, 1178
Result (x y micro-second), 16, 29, 1178
Result (x y micro-second), 47, 13, 1158
Result (x y micro-second), 11, 32, 1217
Result (x y micro-second), 64, 64, 1011
Result (x y micro-second), 47, 13, 1162
Result (x y micro-second), 5, 29, 1281
Result (x y micro-second), 11, 13, 1198
Result (x y micro-second), 23, 64, 1011
Result (x y micro-second), 11, 11, 1187
Result (x y micro-second), 23, 32, 1239
Result (x y micro-second), 47, 7, 1155
Result (x y micro-second), 64, 13, 1165
Result (x y micro-second), 13, 5, 1196
Result (x y micro-second), 32, 1, 1264
Result (x y micro-second), 64, 5, 1131
Result (x y micro-second), 16, 7, 1137
Result (x y micro-second), 47, 11, 1193
Result (x y micro-second), 23, 64, 1031
Result (x y micro-second), 5, 13, 1290
Result (x y micro-second), 47, 64, 1009
Result (x y micro-second), 32, 1, 1279
Result (x y micro-second), 23, 47, 1014
Result (x y micro-second), 13, 7, 1173
Result (x y micro-second), 32, 16, 1133
Result (x y micro-second), 11, 11, 1183
Result (x y micro-second), 1, 7, 2522
Result (x y micro-second), 23, 1, 1362
Result (x y micro-second), 13, 32, 1214
Result (x y micro-second), 64, 64, 1013
Result (x y micro-second), 29, 47, 1022
Result (x y micro-second), 5, 5, 1419
Result (x y micro-second), 5, 64, 1273
Result (x y micro-second), 16, 29, 1170
Result (x y micro-second), 47, 13, 1156
Result (x y micro-second), 1, 23, 2059
Result (x y micro-second), 11, 32, 1222
Result (x y micro-second), 13, 32, 1235
Result (x y micro-second), 23, 23, 1204
Result (x y micro-second), 32, 5, 1131
Result (x y micro-second), 1, 1, 7986
Result (x y micro-second), 16, 64, 1197
Result (x y micro-second), 7, 47, 1241
Result (x y micro-second), 64, 13, 1182
Result (x y micro-second), 13, 47, 1203
Result (x y micro-second), 13, 1, 1587
Result (x y micro-second), 16, 16, 1150
Result (x y micro-second), 7, 13, 1224
Result (x y micro-second), 7, 16, 1227
Result (x y micro-second), 64, 47, 1019
Result (x y micro-second), 47, 64, 1025
Result (x y micro-second), 7, 64, 1259
Result (x y micro-second), 23, 23, 1200
Result (x y micro-second), 29, 64, 1014
Result (x y micro-second), 5, 13, 1299
Result (x y micro-second), 5, 1, 2448
Result (x y micro-second), 16, 13, 1203
Result (x y micro-second), 64, 16, 1194
Result (x y micro-second), 7, 29, 1240
Result (x y micro-second), 32, 13, 1153
Result (x y micro-second), 11, 5, 1224
Result (x y micro-second), 16, 32, 1172
Result (x y micro-second), 13, 16, 1187
Result (x y micro-second), 7, 13, 1233
Result (x y micro-second), 64, 5, 1138
Result (x y micro-second), 7, 32, 1243
Result (x y micro-second), 47, 11, 1178
Result (x y micro-second), 29, 7, 1139
Result (x y micro-second), 47, 7, 1148
Result (x y micro-second), 1, 47, 2242
Result (x y micro-second), 23, 64, 1006
Result (x y micro-second), 29, 47, 1008
Result (x y micro-second), 11, 13, 1192
Result (x y micro-second), 7, 11, 1232
Result (x y micro-second), 1, 64, 1939
Result (x y micro-second), 16, 11, 1148
Result (x y micro-second), 47, 64, 1010
Result (x y micro-second), 47, 7, 1158
Result (x y micro-second), 13, 47, 1190
Result (x y micro-second), 13, 11, 1182
Result (x y micro-second), 32, 23, 1176
Result (x y micro-second), 47, 16, 1193
Result (x y micro-second), 29, 13, 1159
Result (x y micro-second), 29, 23, 1164
Result (x y micro-second), 23, 16, 1160
Result (x y micro-second), 7, 5, 1358
Result (x y micro-second), 13, 47, 1181
Result (x y micro-second), 47, 16, 1189
Result (x y micro-second), 7, 1, 2048
Result (x y micro-second), 23, 1, 1359
Result (x y micro-second), 32, 5, 1124
Result (x y micro-second), 11, 23, 1202
Result (x y micro-second), 47, 64, 1007
Result (x y micro-second), 23, 11, 1156
Result (x y micro-second), 47, 64, 1014
Result (x y micro-second), 13, 23, 1189
Result (x y micro-second), 11, 5, 1218
Result (x y micro-second), 1, 1, 7971
Result (x y micro-second), 16, 23, 1157
Result (x y micro-second), 13, 1, 1611
Result (x y micro-second), 1, 23, 2057
Result (x y micro-second), 64, 11, 1183
Result (x y micro-second), 13, 32, 1241
Result (x y micro-second), 23, 13, 1172
Result (x y micro-second), 23, 1, 1371
Result (x y micro-second), 13, 11, 1172
Result (x y micro-second), 64, 16, 1151
Result (x y micro-second), 47, 32, 1023
Result (x y micro-second), 7, 7, 1281
Result (x y micro-second), 47, 1, 1188
Result (x y micro-second), 5, 11, 1295
Result (x y micro-second), 16, 16, 1145
Result (x y micro-second), 7, 11, 1279
Result (x y micro-second), 16, 29, 1178
Result (x y micro-second), 29, 47, 1014
Result (x y micro-second), 16, 23, 1154
Result (x y micro-second), 7, 13, 1222
Result (x y micro-second), 47, 13, 1162
Result (x y micro-second), 1, 7, 2531
Result (x y micro-second), 32, 13, 1149
Result (x y micro-second), 7, 64, 1258
Result (x y micro-second), 32, 5, 1138
Result (x y micro-second), 7, 13, 1227
Result (x y micro-second), 32, 13, 1144
Result (x y micro-second), 29, 23, 1163
Result (x y micro-second), 11, 32, 1235
Result (x y micro-second), 29, 23, 1168
Result (x y micro-second), 1, 47, 2230
Result (x y micro-second), 47, 11, 1164
Result (x y micro-second), 11, 23, 1191
Result (x y micro-second), 64, 32, 1006
Result (x y micro-second), 5, 5, 1428
Result (x y micro-second), 1, 32, 2030
Result (x y micro-second), 16, 1, 1493
Result (x y micro-second), 64, 1, 1179
Result (x y micro-second), 13, 1, 1589
Result (x y micro-second), 32, 64, 1000
Result (x y micro-second), 64, 64, 1018
Result (x y micro-second), 7, 29, 1232
Result (x y micro-second), 7, 47, 1252
Result (x y micro-second), 11, 11, 1188
Result (x y micro-second), 13, 32, 1222
Result (x y micro-second), 47, 16, 1203
Result (x y micro-second), 29, 16, 1180
Result (x y micro-second), 32, 64, 1014
Result (x y micro-second), 1, 32, 2040
Result (x y micro-second), 23, 64, 1014
Result (x y micro-second), 29, 23, 1166
Result (x y micro-second), 29, 7, 1159
Result (x y micro-second), 13, 16, 1183
Result (x y micro-second), 1, 23, 2070
Result (x y micro-second), 11, 47, 1236
Result (x y micro-second), 23, 7, 1160
Result (x y micro-second), 23, 32, 1230
Result (x y micro-second), 64, 32, 1014
Result (x y micro-second), 13, 1, 1603
Result (x y micro-second), 47, 32, 1002
Result (x y micro-second), 32, 29, 1149
Result (x y micro-second), 1, 7, 2535
Result (x y micro-second), 7, 47, 1270
Result (x y micro-second), 1, 1, 7958
Result (x y micro-second), 13, 23, 1187
Result (x y micro-second), 47, 1, 1204
Result (x y micro-second), 5, 16, 1283
Result (x y micro-second), 1, 16, 2115
Result (x y micro-second), 32, 5, 1119
Result (x y micro-second), 1, 1, 7989
Result (x y micro-second), 64, 13, 1136
Result (x y micro-second), 11, 16, 1200
Result (x y micro-second), 64, 1, 1183
Result (x y micro-second), 5, 11, 1297
Result (x y micro-second), 47, 64, 1020
Result (x y micro-second), 5, 13, 1283
Result (x y micro-second), 16, 5, 1156
Result (x y micro-second), 29, 16, 1169
Result (x y micro-second), 32, 16, 1135
Result (x y micro-second), 11, 5, 1213
Result (x y micro-second), 1, 5, 2874
Result (x y micro-second), 1, 64, 1935
Result (x y micro-second), 16, 1, 1485
Result (x y micro-second), 7, 7, 1261
Result (x y micro-second), 64, 1, 1174
Result (x y micro-second), 5, 29, 1282
Result (x y micro-second), 11, 7, 1196
Result (x y micro-second), 1, 7, 2522
Result (x y micro-second), 1, 5, 2869
Result (x y micro-second), 23, 47, 1008
Result (x y micro-second), 47, 16, 1194
Result (x y micro-second), 7, 5, 1349
Result (x y micro-second), 13, 29, 1193
Result (x y micro-second), 23, 7, 1161
Result (x y micro-second), 5, 32, 1255
Result (x y micro-second), 5, 64, 1270
Result (x y micro-second), 47, 5, 1140
Result (x y micro-second), 29, 11, 1152
Result (x y micro-second), 1, 47, 2240
Result (x y micro-second), 13, 32, 1210
Result (x y micro-second), 32, 11, 1153
Result (x y micro-second), 16, 1, 1491
Result (x y micro-second), 16, 16, 1144
Result (x y micro-second), 1, 16, 2125
Result (x y micro-second), 23, 23, 1200
Result (x y micro-second), 5, 7, 1432
Result (x y micro-second), 47, 11, 1181
Result (x y micro-second), 7, 11, 1215
Result (x y micro-second), 47, 32, 1017
Result (x y micro-second), 16, 64, 1206
Result (x y micro-second), 11, 13, 1189
Result (x y micro-second), 32, 7, 1132
Result (x y micro-second), 13, 13, 1186
Result (x y micro-second), 11, 7, 1199
Result (x y micro-second), 5, 16, 1261
Result (x y micro-second), 64, 29, 1019
Result (x y micro-second), 32, 13, 1154
Result (x y micro-second), 16, 1, 1497
Result (x y micro-second), 47, 16, 1187
Result (x y micro-second), 11, 7, 1189
Result (x y micro-second), 64, 13, 1169
Result (x y micro-second), 11, 32, 1219
Result (x y micro-second), 23, 16, 1167
Result (x y micro-second), 47, 13, 1160
Result (x y micro-second), 1, 5, 2868
Result (x y micro-second), 5, 13, 1265
Result (x y micro-second), 23, 47, 1019
Result (x y micro-second), 13, 64, 1258
Result (x y micro-second), 5, 16, 1278
Result (x y micro-second), 5, 1, 2457
Result (x y micro-second), 1, 47, 2227
Result (x y micro-second), 29, 23, 1157
Result (x y micro-second), 11, 5, 1243
Result (x y micro-second), 16, 64, 1172
Result (x y micro-second), 13, 32, 1211
Result (x y micro-second), 7, 11, 1221
Result (x y micro-second), 7, 11, 1229
Result (x y micro-second), 64, 23, 1018
Result (x y micro-second), 32, 32, 1151
Result (x y micro-second), 64, 23, 1004
Result (x y micro-second), 64, 47, 1019
Result (x y micro-second), 64, 16, 1146
Result (x y micro-second), 23, 5, 1143
Result (x y micro-second), 7, 29, 1237
Result (x y micro-second), 29, 5, 1143
Result (x y micro-second), 29, 29, 1209
Result (x y micro-second), 64, 5, 1130
Result (x y micro-second), 1, 1, 7973
Result (x y micro-second), 1, 16, 2118
Result (x y micro-second), 1, 13, 2186
Result (x y micro-second), 11, 1, 1674
Result (x y micro-second), 23, 11, 1221
Result (x y micro-second), 11, 16, 1194
Result (x y micro-second), 47, 47, 1015
Result (x y micro-second), 7, 23, 1246
Result (x y micro-second), 13, 5, 1201
Result (x y micro-second), 13, 13, 1190
Result (x y micro-second), 13, 64, 1241
Result (x y micro-second), 16, 23, 1171
Result (x y micro-second), 13, 5, 1195
Result (x y micro-second), 16, 47, 1213
Result (x y micro-second), 23, 16, 1167
Result (x y micro-second), 64, 29, 1013
Result (x y micro-second), 16, 32, 1159
Result (x y micro-second), 64, 11, 1195
Result (x y micro-second), 7, 7, 1263
Result (x y micro-second), 11, 23, 1189
Result (x y micro-second), 11, 23, 1184
Result (x y micro-second), 1, 64, 1934
Result (x y micro-second), 13, 7, 1150
Result (x y micro-second), 16, 47, 1229
Result (x y micro-second), 7, 32, 1234
Result (x y micro-second), 1, 13, 2164
Result (x y micro-second), 16, 11, 1137
Result (x y micro-second), 47, 32, 1012
Result (x y micro-second), 11, 11, 1189
Result (x y micro-second), 23, 47, 1014
Result (x y micro-second), 23, 13, 1168
Result (x y micro-second), 11, 5, 1217
Result (x y micro-second), 64, 11, 1195
Result (x y micro-second), 7, 5, 1360
Result (x y micro-second), 11, 23, 1202
Result (x y micro-second), 29, 16, 1174
Result (x y micro-second), 64, 16, 1162
Result (x y micro-second), 13, 7, 1170
Result (x y micro-second), 23, 32, 1222
Result (x y micro-second), 47, 32, 1012
Result (x y micro-second), 11, 47, 1331
Result (x y micro-second), 64, 32, 1012
